,placement,placement
,mean,var
trait,,
기계화의 전령관,2.973438268568618,3.7095034029533545
피의 사냥꾼,3.0615107913669064,3.9224475187751824
추방된 마법사,3.119634703196347,3.9491346312300455
모략,3.7903225806451615,5.184822845055526
재회,3.859030837004405,5.387119410549296
도박꾼,3.897823033707865,5.8037465763291065
포수,3.963626779124934,4.853634096919632
고물의 왕,4.004222463505851,5.108210933129495
형태전환자,4.071171171171171,5.281674912062643
실험체,4.153742866733803,4.767490183692384
저격수,4.186813186813187,4.689693566345552
마법사,4.189278350515464,5.595759586267899
검은 장미단,4.208219178082191,4.991866639491096
또 다른 결말,4.231884057971015,4.974850809889172
기동타격대,4.2493617021276595,4.880695929537133
자동기계,4.321799307958478,4.732719183930261
고물상,4.386603567528213,5.2707308853914885
계엄령,4.390625,5.5174019607843166
아카데미,4.395777178796047,4.34980687886771
가족,4.398945518453427,4.715562266392733
매복자,4.403024574669187,5.590913692663635
점화단,4.437884378843789,4.638908506008126
감시자,4.466720944433137,4.680946432087712
배신,4.489130434782608,5.2416387959866215
투사,4.494047619047619,5.185664633281311
난동꾼,4.502407704654896,4.884733154125339
반군,4.513752455795678,5.527574904785123
집행자,4.517106549364614,5.243472504045106
사절,4.545796737766625,5.1721009655637395
정복자,4.574612403100775,6.095300528575404
주시자,4.623513870541611,4.659222013356722
지배자,4.629213483146067,4.83263589135282
뜻밖의 2인조,4.6946902654867255,6.3552605703048135
화공 남작,4.714772727272727,8.463490278208718
선도자,4.741818181818182,4.871368049426302
천재,4.878787878787879,3.5473484848484844
자매,5.076923076923077,5.320016999575011
